nombre;correo
TEVCOL;"monitoreo.ecuador@prosegur.com;Jose.Muzo@prosegur.com;monitoreo.ecuador@prosegur.com"
UTOPIA;"lcarrera@esmeraldafarms.com:sistemas_florycampo@esmeraldafarms.com;aoviedo@esmeraldafarms.com"
VALLEJO ARAUJO;
VASERUM;"acsantanab@vaserum.com;gvargas@vaserum.com"
PRESIDENCIA ALFREDO ESCOBAR;"rbanda@claro.com.ec;dalava@claro.com.ec;rcartagm@claro.com.ec;csilva@claro.com.ec;hloaiza@claro.com.ec;Mchoez@claro.com.ec;vpezo@claro.com.ec"
DIR FIN MARCO ANTONIO CAMPOS;
DIR COM FRANCISCO CORZO;
DIR TH MARCO MIRELES;
SERVICIO INTERNO;
COGESCORP;"desarrollo@cogescorp.com;sistemas.gye@cogescorp.com"
TORRES & TORRES;"infraestructuratyt@torresytorres.com;soportetecnico@torresytorres.com;bbedon@torresytorres.com;phidalgc@claro.com.ec"
SEGURA EP;"javier.preciado@seguraep.gob.ec;ahmed.perez@seguraep.gob.ec;herman.alarcon@seguraep.gob.ec;paula.gutierrez@seguraep.gob.ec;javier.h@seguraep.gob.ec"
ECUAVISA;csantander@ecuavisa.com
